asset_id,category,make_model,year,site,status,acquisition_cost_aud,current_book_value_aud,utilisation_pct_ytd,last_service_date,next_service_due,condition,owner_division
KK-GS-054,Generator,Cummins C275 D5 (275kVA),2025,Pilbara - Port Hedland,Operational,160000,142000,41,2026-08-12,2026-11-10,Fair,Environmental Services
KK-HT-004,Haul Truck,Caterpillar 777G,2017,Pilbara - Karratha,Operational,3413000,956000,55,2026-08-02,2026-12-30,Excellent,Industrial Services
KK-HT-005,Haul Truck,Caterpillar 785C,2025,Pilbara - Newman,Operational,3611000,3214000,39,2026-07-21,2026-12-18,Fair,Industrial Services
KK-LO-210,Loader,Volvo L120,2022,Pilbara - Newman,Operational,727000,407000,46,2026-08-08,2026-11-06,Excellent,Industrial Services
KK-LO-211,Loader,Caterpillar 966M,2022,Perth - Applecross,Operational,809000,453000,62,2026-06-21,2026-11-18,Good,Environmental Services
KK-LO-212,Loader,Volvo L120,2017,Pilbara - Port Hedland,Operational,839000,235000,72,2026-07-07,2026-10-05,Good,Industrial Services
KK-LT-280,Lighting Tower,Allight SL200,2017,Pilbara - Karratha,Operational,30000,8000,57,2026-06-28,2026-10-26,Good,Industrial Services
KK-LT-281,Lighting Tower,Allight SL200,2022,Pilbara - Newman,Operational,29000,16000,62,2026-07-28,2026-12-25,Fair,Industrial Services
KK-LT-282,Lighting Tower,Allight SL200,2020,Pilbara - Port Hedland,Operational,23000,8000,65,2026-06-03,2026-10-31,Good,Industrial Services
KK-LT-283,Lighting Tower,Atlas Copco HiLight H5,2024,Pilbara - Newman,Standby,26000,20000,95,2026-07-29,2026-12-26,Excellent,Industrial Services
KK-LT-284,Lighting Tower,Sunlite BossLite,2021,Pilbara - Newman,Operational,19000,9000,86,2026-07-11,2026-10-09,Good,Industrial Services
KK-LV-043,Light Vehicle,Toyota LandCruiser 200 Series,2020,Pilbara - Newman,Operational,92000,31000,53,2026-06-08,2026-11-05,Good,Environmental Services
KK-LV-044,Light Vehicle,Toyota LandCruiser 79 Series,2018,Pilbara - Karratha,Operational,83000,23000,60,2026-07-07,2026-11-04,Fair,Industrial Services
KK-LV-045,Light Vehicle,Ford Ranger XLT,2024,Pilbara - Karratha,Operational,94000,73000,43,2026-06-28,2026-10-26,Fair,Recruitment & Labour Hire
KK-LV-046,Light Vehicle,Ford Ranger XLT,2023,Pilbara - Newman,Operational,90000,60000,43,2026-06-29,2026-11-26,Good,Environmental Services
KK-LV-047,Light Vehicle,Toyota LandCruiser 200 Series,2024,Pilbara - Karratha,Standby,84000,66000,65,2026-06-10,2026-10-08,Good,Industrial Services
KK-LV-048,Light Vehicle,Toyota LandCruiser 200 Series,2019,Pilbara - Newman,Operational,75000,21000,50,2026-06-12,2026-11-09,Good,Recruitment & Labour Hire
KK-LV-049,Light Vehicle,Toyota LandCruiser 79 Series,2025,Pilbara - Newman,Operational,94000,84000,71,2026-08-07,2026-11-05,Good,Industrial Services
KK-LV-050,Light Vehicle,Toyota LandCruiser 79 Series,2024,Pilbara - Port Hedland,Standby,75000,58000,40,2026-06-10,2026-10-08,Good,Recruitment & Labour Hire
KK-LV-051,Light Vehicle,Toyota LandCruiser 79 Series,2016,Pilbara - Newman,Operational,85000,24000,68,2026-07-07,2026-10-05,Excellent,Corporate
KK-LV-052,Light Vehicle,Toyota LandCruiser 79 Series,2017,Pilbara - Karratha,Operational,81000,23000,42,2026-08-13,2026-11-11,Good,Corporate
KK-LV-053,Light Vehicle,Ford Ranger XLT,2019,Pilbara - Karratha,Operational,75000,21000,86,2026-06-04,2026-11-01,Good,Industrial Services
KK-LV-054,Light Vehicle,Toyota HiLux SR5,2020,Perth - Applecross,Operational,92000,31000,65,2026-06-01,2026-08-30,Fair,Industrial Services
KK-LV-055,Light Vehicle,Isuzu D-Max,2019,Pilbara - Newman,Operational,78000,22000,43,2026-07-28,2026-12-25,Excellent,Environmental Services
KK-LV-056,Light Vehicle,Toyota LandCruiser 200 Series,2023,Pilbara - Newman,Operational,79000,53000,52,2026-07-14,2026-12-11,Good,Industrial Services
KK-LV-057,Light Vehicle,Toyota LandCruiser 79 Series,2025,Perth - Applecross,Operational,87000,77000,50,2026-06-11,2026-09-09,Good,Corporate
KK-LV-058,Light Vehicle,Ford Ranger XLT,2016,Pilbara - Newman,Operational,76000,21000,57,2026-06-08,2026-10-06,Good,Recruitment & Labour Hire
KK-LV-059,Light Vehicle,Toyota LandCruiser 79 Series,2020,Pilbara - Karratha,Operational,84000,29000,69,2026-06-04,2026-09-02,Good,Recruitment & Labour Hire
KK-LV-060,Light Vehicle,Toyota LandCruiser 200 Series,2017,Perth - Applecross,Operational,77000,22000,81,2026-06-07,2026-11-04,Excellent,Recruitment & Labour Hire
KK-LV-061,Light Vehicle,Isuzu D-Max,2025,Perth - Applecross,Operational,73000,65000,86,2026-06-14,2026-11-11,Good,Industrial Services
KK-LV-062,Light Vehicle,Toyota HiLux SR5,2022,Pilbara - Newman,Standby,87000,49000,69,2026-06-20,2026-10-18,Good,Recruitment & Labour Hire
KK-LV-063,Light Vehicle,Toyota LandCruiser 200 Series,2021,Pilbara - Port Hedland,Operational,81000,36000,69,2026-06-29,2026-11-26,Excellent,Industrial Services
KK-LV-064,Light Vehicle,Isuzu D-Max,2017,Pilbara - Port Hedland,Maintenance,94000,26000,63,2026-08-19,2027-01-16,Fair,Industrial Services
KK-LV-065,Light Vehicle,Ford Ranger XLT,2021,Pilbara - Port Hedland,Operational,86000,39000,69,2026-08-13,2026-11-11,Good,Corporate
KK-LV-066,Light Vehicle,Ford Ranger XLT,2023,Pilbara - Newman,Operational,75000,50000,78,2026-07-20,2026-12-17,Good,Industrial Services
KK-LV-067,Light Vehicle,Isuzu D-Max,2017,Pilbara - Port Hedland,Maintenance,77000,22000,91,2026-06-21,2026-09-19,Good,Recruitment & Labour Hire
KK-LV-068,Light Vehicle,Isuzu D-Max,2020,Pilbara - Newman,Standby,82000,28000,68,2026-07-19,2026-11-16,Fair,Industrial Services
KK-LV-069,Light Vehicle,Toyota LandCruiser 79 Series,2024,Perth - Applecross,Maintenance,89000,69000,46,2026-07-15,2026-11-12,Good,Environmental Services
KK-LV-070,Light Vehicle,Isuzu D-Max,2020,Pilbara - Port Hedland,Operational,89000,30000,91,2026-06-18,2026-09-16,Good,Industrial Services
KK-LV-071,Light Vehicle,Toyota LandCruiser 79 Series,2024,Pilbara - Newman,Maintenance,81000,63000,58,2026-07-20,2026-12-17,Good,Recruitment & Labour Hire
KK-LV-072,Light Vehicle,Isuzu D-Max,2021,Pilbara - Port Hedland,Maintenance,89000,40000,83,2026-07-02,2026-10-30,Good,Industrial Services
KK-LV-073,Light Vehicle,Toyota HiLux SR5,2025,Perth - Applecross,Maintenance,80000,71000,44,2026-06-24,2026-09-22,Fair,Industrial Services
KK-LV-074,Light Vehicle,Toyota LandCruiser 200 Series,2022,Pilbara - Karratha,Operational,92000,52000,47,2026-07-17,2026-11-14,Fair,Recruitment & Labour Hire
KK-PU-062,Dewatering Pump,Sykes GP150,2016,Pilbara - Port Hedland,Standby,74000,21000,74,2026-08-10,2027-01-07,Good,Industrial Services
KK-PU-063,Dewatering Pump,Sykes CP150i,2017,Pilbara - Port Hedland,Operational,86000,24000,61,2026-06-24,2026-11-21,Good,Environmental Services
KK-SC-310,Site Office,Container Store/Laydown,2018,Pilbara - Port Hedland,Operational,50000,14000,49,2026-07-02,2026-10-30,Good,Environmental Services
KK-SC-311,Site Office,Container Ablution,2020,Pilbara - Karratha,Operational,46000,16000,91,2026-08-09,2026-12-07,Excellent,Industrial Services
KK-SC-312,Site Office,40ft Site Office Container,2019,Pilbara - Newman,Standby,42000,12000,87,2026-08-14,2026-11-12,Good,Industrial Services
KK-SC-313,Site Office,20ft Site Office Container,2019,Pilbara - Karratha,Operational,23000,6000,80,2026-07-23,2026-11-20,Good,Industrial Services
KK-SS-330,Skid Steer,Kubota SVL75,2020,Pilbara - Karratha,Maintenance,96000,33000,53,2026-08-09,2026-11-07,Good,Environmental Services
KK-SS-331,Skid Steer,Bobcat S770,2018,Perth - Applecross,Standby,91000,25000,68,2026-07-29,2026-11-26,Fair,Industrial Services
KK-SS-332,Skid Steer,Bobcat S770,2024,Pilbara - Port Hedland,Operational,119000,93000,82,2026-07-11,2026-11-08,Good,Industrial Services
KK-SW-290,Road Sweeper,Schwarze A7 Tornado,2025,Pilbara - Karratha,Operational,348000,310000,42,2026-05-31,2026-10-28,Good,Environmental Services
KK-SW-291,Road Sweeper,Schwarze A7 Tornado,2019,Pilbara - Newman,Operational,292000,82000,82,2026-08-06,2026-12-04,Good,Environmental Services
KK-TH-250,Telehandler,Merlo P40.17,2022,Pilbara - Karratha,Operational,149000,83000,57,2026-08-14,2026-12-12,Good,Industrial Services
KK-TH-251,Telehandler,Merlo P40.17,2024,Perth - Applecross,Standby,202000,158000,64,2026-07-31,2026-10-29,Good,Industrial Services
KK-TH-252,Telehandler,Manitou MT1840,2016,Pilbara - Newman,Operational,153000,43000,59,2026-06-28,2026-11-25,Good,Industrial Services
KK-TR-102,Trailer,Drop Deck Semi,2017,Pilbara - Port Hedland,Operational,244000,68000,61,2026-06-22,2026-11-19,Good,Industrial Services
KK-TR-103,Trailer,Float Trailer 4-Row Extendable,2025,Pilbara - Newman,Operational,307000,273000,72,2026-06-21,2026-10-19,Fair,Environmental Services
KK-VT-220,Vacuum Truck,STG Hydrovac 6000,2019,Pilbara - Newman,Operational,465000,130000,59,2026-06-10,2026-09-08,Fair,Industrial Services
KK-VT-221,Vacuum Truck,Vac-U-Digga VUD8000,2019,Pilbara - Newman,Maintenance,433000,121000,40,2026-08-10,2027-01-07,Good,Industrial Services
KK-VT-222,Vacuum Truck,Kenworth T410 Hydrovac,2025,Pilbara - Newman,Operational,535000,476000,53,2026-06-28,2026-09-26,Excellent,Industrial Services
KK-VT-223,Vacuum Truck,STG Hydrovac 6000,2022,Pilbara - Karratha,Operational,513000,287000,84,2026-08-07,2026-11-05,Good,Environmental Services
KK-VT-224,Vacuum Truck,STG Hydrovac 6000,2019,Pilbara - Port Hedland,Operational,458000,128000,72,2026-06-26,2026-09-24,Good,Environmental Services
KK-VT-225,Vacuum Truck,Vac-U-Digga VUD8000,2023,Pilbara - Karratha,Operational,582000,390000,92,2026-08-13,2027-01-10,Fair,Environmental Services
KK-WC-032,Water Cart,Caterpillar 740 (30kL),2020,Pilbara - Karratha,Operational,846000,288000,86,2026-08-06,2027-01-03,Good,Environmental Services
KK-WC-033,Water Cart,Volvo A40G (30kL),2018,Pilbara - Newman,Operational,756000,212000,48,2026-06-13,2026-09-11,Fair,Industrial Services
KK-WS-082,Workshop Equipment,Lincoln Electric Welder Bank,2019,Pilbara - Newman,Maintenance,41000,11000,58,2026-08-09,2026-11-07,Good,Industrial Services
